cell_lat,cell_lon,total,weekly_avg
5.0,95.0,33,0.012279396130129704
5.0,105.0,4,0.001488411652136934
5.0,110.0,1,0.0003721029130342335
5.0,115.0,20,0.007442058260684669
5.0,120.0,434,0.16149266425685732
5.0,125.0,1628,0.6057835424197321
5.0,130.0,11,0.004093132043376568
5.0,135.0,35,0.01302360195619817
5.0,140.0,17,0.006325749521581969
5.0,145.0,11,0.004093132043376568
5.0,150.0,2,0.000744205826068467
5.0,155.0,1,0.0003721029130342335
5.0,175.0,1,0.0003721029130342335
10.0,-130.0,1,0.0003721029130342335
10.0,-115.0,1,0.0003721029130342335
10.0,-110.0,1,0.0003721029130342335
10.0,-105.0,25,0.009302572825855837
10.0,-100.0,1,0.0003721029130342335
10.0,-95.0,530,0.19721454390814372
10.0,-90.0,605,0.22512226238571123
10.0,-85.0,23,0.008558366999787369
10.0,-80.0,5,0.0018605145651711672
10.0,-75.0,14,0.005209440782479268
10.0,-70.0,17,0.006325749521581969
10.0,-65.0,104,0.03869870295556028
10.0,-60.0,18,0.006697852434616202
10.0,-55.0,1,0.0003721029130342335
10.0,-50.0,25,0.009302572825855837
10.0,-45.0,85,0.031628747607909846
10.0,-30.0,1,0.0003721029130342335
10.0,-25.0,1,0.0003721029130342335
10.0,-15.0,2,0.000744205826068467
10.0,35.0,13,0.004837337869445035
10.0,40.0,114,0.04241973208590261
10.0,45.0,41,0.015256219434403572
10.0,50.0,89,0.033117159260046776
10.0,55.0,147,0.05469912821603232
10.0,80.0,2,0.000744205826068467
10.0,90.0,321,0.11944503508398893
10.0,95.0,59,0.021954071869019775
10.0,100.0,1,0.0003721029130342335
10.0,105.0,1,0.0003721029130342335
10.0,110.0,1,0.0003721029130342335
10.0,115.0,45,0.016744631086540507
10.0,120.0,460,0.17116733999574738
10.0,125.0,510,0.18977248564745905
10.0,130.0,1,0.0003721029130342335
10.0,135.0,37,0.013767807782266637
10.0,140.0,648,0.24112268764618328
10.0,145.0,263,0.0978630661280034
10.0,150.0,1,0.0003721029130342335
10.0,170.0,1,0.0003721029130342335
15.0,-160.0,38,0.014139910695300871
15.0,-155.0,1,0.0003721029130342335
15.0,-120.0,6,0.0022326174782054007
15.0,-115.0,2,0.000744205826068467
15.0,-110.0,162,0.06028067191154582
15.0,-105.0,224,0.08335105251966829
15.0,-100.0,303,0.11274718264937274
15.0,-95.0,215,0.08000212630236019
